序号,电影名字,电影评分,电影短评,播放状态,免费播放资源,播放链接,电影详细资料
57,剪刀手爱德华,8.7,浪漫忧郁的成人童话。,可播放,付费,,https://movie.douban.com/subject/1292370/
58,致命魔术,8.8,孪生蝙蝠侠大战克隆金刚狼。,可播放,付费,,https://movie.douban.com/subject/1780330/
59,被嫌弃的松子的一生,8.9,以戏谑来戏谑戏谑。,不可播放,,,https://movie.douban.com/subject/1787291/
60,音乐之声,8.9,用音乐化解仇恨，让歌声串起美好。,可播放,付费,,https://movie.douban.com/subject/1294408/
61,小鞋子,9.1,奔跑的孩子是天使。,可播放,付费,,https://movie.douban.com/subject/1303021/
62,辩护人,9.1,电影的现实意义大过电影本身。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XOTA1MjI4Mzk2.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/21937445/
63,低俗小说,8.7,故事的高级讲法。,可播放,付费,,https://movie.douban.com/subject/1291832/
64,入殓师,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,不可播放,,,https://movie.douban.com/subject/2149806/
65,饮食男女,9.0,人生不能像做菜，把所有的料都准备好了才下锅。,不可播放,,,https://movie.douban.com/subject/1291818/
66,蝴蝶效应,8.7,人的命运被自己瞬间的抉择改变。,可播放,乐视视频,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.le.com%2Fptv%2Fvplay%2F26917825.html%3Fch%3Ddouban_mf&amp;subtype=6&amp;type=online-video&amp;link2key=f6ad33de05,https://movie.douban.com/subject/1292343/
67,沉默的羔羊,8.7,安东尼·霍普金斯的顶级表演。,不可播放,,,https://movie.douban.com/subject/1293544/
68,本杰明·巴顿奇事,8.7,在时间之河里感受溺水之苦。,可播放,付费,,https://movie.douban.com/subject/1485260/
69,玛丽和马克思,8.9,你是我最好的朋友，你是我唯一的朋友 。,可播放,腾讯视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fb49nto261rv2a14.html%3Fptag%3Ddouban.movie&amp;subtype=1&amp;type=online-video,https://movie.douban.com/subject/3072124/
70,黑客帝国,8.8,视觉革命。,可播放,付费,,https://movie.douban.com/subject/1291843/
71,控方证人,9.5,比利·怀德满分作品。,可播放,付费,,https://movie.douban.com/subject/1296141/
72,拯救大兵瑞恩,8.8,美利坚精神输出大片No1.,可播放,付费,,https://movie.douban.com/subject/1292849/
73,西西里的美丽传说,8.7,美丽无罪。,可播放,付费,,https://movie.douban.com/subject/1292402/
74,幽灵公主,8.8,人与自然的战争史诗。,可播放,付费,,https://movie.douban.com/subject/1297359/
75,心灵捕手,8.7,人生中应该拥有这样的一段豁然开朗。,可播放,付费,,https://movie.douban.com/subject/1292656/
76,第六感,8.8,深入内心的恐怖，出人意料的结局。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fcps.youku.com%2Fredirect.html%3Fid%3D0000a213%26url%3Dhttp%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNjI3MzgwNDM2.html&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/1297630/
77,阳光灿烂的日子,8.7,一场华丽的意淫。,不可播放,,,https://movie.douban.com/subject/1291875/
